Name,Email,9am-10am,10am-11am,11am-12pm,12pm-1pm,1pm-2pm,2pm-3pm,3pm-4pm,4pm-5pm,Work Preference,Assignment Start Time,Time Commitment,Team Role Preference,Team Experience,Communication Method,Class Goals,Strengths,Weaknesses
Student 1,student1@example.com,,"Tue, Mon",Thu,"Mon, Fri, Wed","Tue, Wed","Mon, Fri","Tue, Mon",,Would like a mix of remote and in-person meetings,Flexible depending on the workload,Available on weekends and some evenings,Enjoy problem-solving and brainstorming solutions,Enjoy teamwork but prefer individual contributions,Prefer structured emails over informal chats,Looking to build a strong portfolio from this project,Strong at explaining concepts and teaching others,Procrastinate when tasks seem overwhelming
Student 2,student2@example.com,Mon,"Fri, Thu, Tue",,Mon,Thu,"Thu, Wed, Fri","Wed, Thu",,Prefer working remotely with flexible hours,Flexible depending on the workload,Available on weekends and some evenings,Prefer organizing tasks and keeping things on track,Enjoy teamwork but prefer individual contributions,Enjoy regular video calls for better coordination,Hoping to gain leadership and organizational experience,Strong at explaining concepts and teaching others,"Need to improve on giving clear, concise updates to team"
Student 3,student3@example.com,Wed,"Fri, Tue","Mon, Tue","Thu, Wed",,"Fri, Thu, Wed","Mon, Tue, Fri","Thu, Wed",Enjoy in-person meetings but open to remote work,Prefer starting well in advance to stay on top of tasks,"Can dedicate 10-12 hours weekly, balancing with other classes",Prefer organizing tasks and keeping things on track,This is my first time working in a structured team,Prefer quick updates via text or messaging apps,Want to gain practical experience working in a team,Organized and great at planning ahead,"Need to improve on giving clear, concise updates to team"
Student 4,student4@example.com,"Mon, Wed",,,,"Fri, Mon, Thu",,"Wed, Thu, Mon",,Would like a mix of remote and in-person meetings,Prefer starting well in advance to stay on top of tasks,"Can dedicate 10-12 hours weekly, balancing with other classes",Prefer organizing tasks and keeping things on track,This is my first time working in a structured team,Like using Discord or Slack for team discussions,Looking to build a strong portfolio from this project,Strong at explaining concepts and teaching others,Tend to take on too many responsibilities at once
Student 5,student5@example.com,,"Fri, Tue, Wed",Mon,Mon,Fri,Thu,,"Fri, Wed",Would like a mix of remote and in-person meetings,Prefer starting well in advance to stay on top of tasks,Available on weekends and some evenings,Prefer organizing tasks and keeping things on track,Have collaborated on technical projects but not much leadership,Flexible with any communication method,Looking to build a strong portfolio from this project,Organized and great at planning ahead,Procrastinate when tasks seem overwhelming
Student 6,student6@example.com,Mon,Tue,,,"Mon, Wed",Mon,,Tue,Enjoy in-person meetings but open to remote work,Prefer starting well in advance to stay on top of tasks,"Can dedicate 10-12 hours weekly, balancing with other classes",Prefer hands-on work rather than managing logistics,I have experience leading teams and organizing tasks,Enjoy regular video calls for better coordination,Hope to develop problem-solving skills,Good at debugging and troubleshooting technical issues,Can get stuck in small details and overanalyze
Student 7,student7@example.com,"Tue, Thu, Wed",Fri,Wed,"Fri, Tue",,"Wed, Tue","Tue, Fri, Mon","Mon, Thu, Tue",Prefer structured work schedules with clear deadlines,Flexible depending on the workload,"Can dedicate 10-12 hours weekly, balancing with other classes",Prefer organizing tasks and keeping things on track,"I’ve worked on group projects before, but want to improve",Enjoy regular video calls for better coordination,Hoping to gain leadership and organizational experience,Good at debugging and troubleshooting technical issues,Procrastinate when tasks seem overwhelming
Student 8,student8@example.com,,"Wed, Mon",Thu,,,Thu,"Fri, Wed","Fri, Thu, Wed","No strong preference, just want a productive team",Prefer collaborating with team members close to deadlines,Around 5-10 hours per week depending on workload,Prefer organizing tasks and keeping things on track,Have collaborated on technical projects but not much leadership,Like using Discord or Slack for team discussions,Hoping to gain leadership and organizational experience,Quick learner and adaptable to new challenges,"Need to improve on giving clear, concise updates to team"
Student 9,student9@example.com,"Mon, Tue, Thu","Tue, Thu",,"Mon, Tue, Wed","Thu, Tue, Fri",,"Tue, Thu",Thu,Would like a mix of remote and in-person meetings,Prefer collaborating with team members close to deadlines,Prefer to work efficiently in fewer hours,Enjoy problem-solving and brainstorming solutions,This is my first time working in a structured team,Flexible with any communication method,Want to learn how to manage time and deadlines better,Quick learner and adaptable to new challenges,"Need to improve on giving clear, concise updates to team"
Student 10,student10@example.com,"Fri, Thu",,"Tue, Mon, Fri",,,"Fri, Thu",,"Mon, Thu",Would like a mix of remote and in-person meetings,Flexible depending on the workload,Available on weekends and some evenings,Prefer hands-on work rather than managing logistics,I have experience leading teams and organizing tasks,Enjoy regular video calls for better coordination,Looking to build a strong portfolio from this project,Organized and great at planning ahead,Sometimes struggle with public speaking
Student 11,student11@example.com,Tue,,"Fri, Tue",,Wed,,"Mon, Thu, Fri",Tue,Would like a mix of remote and in-person meetings,Prefer starting well in advance to stay on top of tasks,Available on weekends and some evenings,Prefer hands-on work rather than managing logistics,I have experience leading teams and organizing tasks,Like using Discord or Slack for team discussions,Looking to build a strong portfolio from this project,Quick learner and adaptable to new challenges,Sometimes struggle with public speaking
Student 12,student12@example.com,,"Wed, Tue","Thu, Tue, Wed","Mon, Tue","Tue, Thu, Fri",,"Thu, Fri","Mon, Tue",Prefer working remotely with flexible hours,Usually work best under last-minute pressure,"Can dedicate 10-12 hours weekly, balancing with other classes",Enjoy problem-solving and brainstorming solutions,I have experience leading teams and organizing tasks,Prefer structured emails over informal chats,Want to gain practical experience working in a team,Organized and great at planning ahead,"Need to improve on giving clear, concise updates to team"
Student 13,student13@example.com,"Mon, Tue",,,"Thu, Mon, Fri",,,"Fri, Wed","Tue, Mon",Prefer working remotely with flexible hours,Flexible depending on the workload,"Can dedicate 10-12 hours weekly, balancing with other classes",Prefer hands-on work rather than managing logistics,"I’ve worked on group projects before, but want to improve",Like using Discord or Slack for team discussions,Looking to build a strong portfolio from this project,Quick learner and adaptable to new challenges,Can get stuck in small details and overanalyze
Student 14,student14@example.com,"Fri, Thu",,"Tue, Mon, Fri",,,,,,Prefer structured work schedules with clear deadlines,Usually work best under last-minute pressure,Prefer to work efficiently in fewer hours,Flexible and willing to adapt based on team needs,Enjoy teamwork but prefer individual contributions,Enjoy regular video calls for better coordination,Want to gain practical experience working in a team,Quick learner and adaptable to new challenges,"Need to improve on giving clear, concise updates to team"
Student 15,student15@example.com,,"Fri, Thu",Tue,Fri,,Tue,,Fri,Prefer structured work schedules with clear deadlines,Prefer collaborating with team members close to deadlines,Prefer to work efficiently in fewer hours,Like taking initiative and leading discussions,This is my first time working in a structured team,Flexible with any communication method,Want to learn how to manage time and deadlines better,Good at debugging and troubleshooting technical issues,Sometimes struggle with public speaking
Student 16,student16@example.com,Tue,,,"Wed, Tue, Mon",Mon,Mon,,Fri,Prefer structured work schedules with clear deadlines,Prefer collaborating with team members close to deadlines,Available on weekends and some evenings,Enjoy problem-solving and brainstorming solutions,I have experience leading teams and organizing tasks,Like using Discord or Slack for team discussions,Hoping to gain leadership and organizational experience,Quick learner and adaptable to new challenges,Procrastinate when tasks seem overwhelming
Student 17,student17@example.com,,,Tue,,,,Fri,Fri,Enjoy in-person meetings but open to remote work,Like to plan out tasks a week ahead,Available on weekends and some evenings,Enjoy problem-solving and brainstorming solutions,"I’ve worked on group projects before, but want to improve",Prefer structured emails over informal chats,Looking to build a strong portfolio from this project,Strong at explaining concepts and teaching others,Procrastinate when tasks seem overwhelming
